first_name,last_name,affiliation,url,is_organizer
Timothy,Lillicrap,DeepMind,https://contrastiveconvergence.net/~timothylillicrap/index.php,1
Siva,Reddy,Mila/McGill/ServiceNow Research,https://sivareddy.in,1
Denis,Therien,McGill/ServiceNow Research,https://www.cs.mcgill.ca/~denis/,1
Boaz,Barak,Harvard,https://www.boazbarak.org,0
Hima,Lakkaraju,Harvard,https://himalakkaraju.github.io,0
Sanjeev,Arora,Princeton,https://www.cs.princeton.edu/~arora/,0
Sylvie,Delacroix,King's College London,https://delacroix.uk,0
Neil,Lawrence,Cambridge,https://inverseprobability.com,0
Nicolas,Chapados,ServiceNow Research,https://scholar.google.ca/citations?user=QdnjDj8AAAAJ&hl=en,0
Harm,de Vries,ServiceNow Research,https://www.harmdevries.com,0
Dima,Bahdanau,ServiceNow Research,https://rizar.github.io,0
Jeremy,Barnes,ServiceNow Research,https://ca.linkedin.com/in/jeremybarnesai,0
Alessandro,Sordoni,Microsoft,https://scholar.google.it/citations?user=DJon7w4AAAAJ&hl=en,0
Toni,Pitassi,Columbia University,https://www.cs.columbia.edu/~toni/,0
Rich,Zemel,Columbia University/Vector Institute,https://www.cs.columbia.edu/~zemel/,0
Ryan,O'Donnell,Carnegie Mellon,http://www.cs.cmu.edu/~odonnell/,0
Anil,Ada,Carnegie Mellon,https://www.anilada.com,0
Mia,Glaese,DeepMind,https://scholar.google.com/citations?user=M00RC1gAAAAJ&hl=de,0
Maja,Trebacz,OpenAI,https://scholar.google.com/citations?user=G_ixpV8AAAAJ&hl=en,0
Blaise,Aguera y Arcas,Google Research,https://scholar.google.com/citations?user=NQ8iI3cAAAAJ&hl=en,0
Nicolas,Papernot,Toronto/Vector Institute,https://www.papernot.fr,0
Konstantin,B̦ttinger,Fraunhofer AISEC,https://scholar.google.com/citations?user=HE-hbEoAAAAJ&hl=de,0
Yann,LeCun,New York University/Meta,http://yann.lecun.com,0
Eszter,Vertes,DeepMind,https://scholar.google.co.uk/citations?user=RahgPAEAAAAJ&hl=en,0
Leandro,Von Werra,Hugging Face,https://scholar.google.ch/citations?user=E9LB46wAAAAJ&hl=en,0
Gillian,Hadfield,Toronto/Vector Institute,https://scholar.google.com/citations?user=7cU2rQsAAAAJ&hl=en,0
Karolina,Stanczak,University of Copenhagen,https://kstanczak.github.io,0
Nicholas,Meade,McGill/Mila,https://ncmeade.github.io,0
Esin,Durmus,Anthropic,https://esdurmus.github.io,0
Jess,Montgomery,Cambridge,https://mlatcl.github.io/people/jessica-montgomery.html,0
Ryan,Lowe,OpenAI,https://scholar.google.ca/citations?user=iRgYMuEAAAAJ&hl=en,0
Jacob,Steinhardt,Berkeley,https://jsteinhardt.stat.berkeley.edu,0
Hattie,Zhou,Mila/UdeM,https://hattiezhou.com,0
Mehar,Bhatia,University of British Columbia/Vector Institute,https://meharbhatia.github.io,0